order_id,customer_id,amount,status,created_at
1,61,48.03,refunded,2025-05-27 00:00:00
2,188,89.13,shipped,2025-05-27 00:00:00
3,42,127.49,cancelled,2025-05-29 00:00:00
4,74,28.2,cancelled,2025-06-01 00:00:00
5,142,13.76,cancelled,2025-06-02 00:00:00
6,182,31.08,shipped,2025-06-02 00:00:00
7,42,23.25,refunded,2025-06-02 00:00:00
8,30,12.74,shipped,2025-06-03 00:00:00
9,77,39.01,shipped,2025-06-03 00:00:00
10,182,48.49,shipped,2025-06-04 00:00:00
11,31,129.19,shipped,2025-06-04 00:00:00
12,198,37.89,shipped,2025-06-05 00:00:00
13,50,13.38,refunded,2025-06-05 00:00:00
14,145,29.41,placed,2025-06-06 00:00:00
15,236,29.93,shipped,2025-06-06 00:00:00
16,23,12.82,refunded,2025-06-07 00:00:00
17,195,74.93,shipped,2025-06-08 00:00:00
18,170,92.46,cancelled,2025-06-09 00:00:00
19,160,27.15,refunded,2025-06-10 00:00:00
20,100,46.35,shipped,2025-06-11 00:00:00
21,145,17.54,placed,2025-06-11 00:00:00
22,59,26.63,refunded,2025-06-11 00:00:00
23,90,75.69,shipped,2025-06-14 00:00:00
24,234,52.07,shipped,2025-06-15 00:00:00
25,77,24.42,shipped,2025-06-15 00:00:00
26,143,39.66,cancelled,2025-06-16 00:00:00
27,50,26.36,shipped,2025-06-17 00:00:00
28,143,15.53,cancelled,2025-06-17 00:00:00
29,225,90.07,shipped,2025-06-18 00:00:00
30,79,65.21,cancelled,2025-06-18 00:00:00
31,59,91.12,cancelled,2025-06-18 00:00:00
32,7,36.74,shipped,2025-06-18 00:00:00
33,95,56.8,cancelled,2025-06-18 00:00:00
34,211,19.56,shipped,2025-06-19 00:00:00
35,216,79.61,shipped,2025-06-19 00:00:00
36,152,124.59,shipped,2025-06-19 00:00:00
37,152,10.07,cancelled,2025-06-20 00:00:00
38,190,55.1,placed,2025-06-21 00:00:00
39,211,89.67,placed,2025-06-21 00:00:00
40,216,57.1,shipped,2025-06-22 00:00:00
41,96,162.57,shipped,2025-06-22 00:00:00
42,37,156.85,shipped,2025-06-24 00:00:00
43,61,81.59,shipped,2025-06-26 00:00:00
44,188,24.14,refunded,2025-06-26 00:00:00
45,23,40.44,refunded,2025-06-26 00:00:00
46,23,41.59,shipped,2025-06-28 00:00:00
47,94,44.74,shipped,2025-06-29 00:00:00
48,79,13.29,shipped,2025-07-01 00:00:00
49,42,121.04,shipped,2025-07-01 00:00:00
50,92,60.18,shipped,2025-07-02 00:00:00
51,50,69.78,refunded,2025-07-03 00:00:00
52,59,35.73,placed,2025-07-03 00:00:00
53,35,62.44,shipped,2025-07-04 00:00:00
54,152,48.9,cancelled,2025-07-04 00:00:00
55,37,13.67,shipped,2025-07-04 00:00:00
56,170,48.92,cancelled,2025-07-05 00:00:00
57,24,86.0,shipped,2025-07-05 00:00:00
58,79,174.51,shipped,2025-07-06 00:00:00
59,143,30.62,shipped,2025-07-06 00:00:00
60,92,79.51,cancelled,2025-07-06 00:00:00
61,88,191.27,refunded,2025-07-07 00:00:00
62,137,29.08,cancelled,2025-07-12 00:00:00
63,174,66.2,shipped,2025-07-13 00:00:00
64,7,74.46,shipped,2025-07-14 00:00:00
65,77,53.97,shipped,2025-07-15 00:00:00
66,50,22.17,placed,2025-07-16 00:00:00
67,177,29.55,shipped,2025-07-17 00:00:00
68,103,90.26,shipped,2025-07-17 00:00:00
69,61,39.38,shipped,2025-07-18 00:00:00
70,160,56.4,shipped,2025-07-19 00:00:00
71,79,71.95,shipped,2025-07-19 00:00:00
72,125,100.13,shipped,2025-07-19 00:00:00
73,225,18.64,refunded,2025-07-20 00:00:00
74,90,50.34,refunded,2025-07-21 00:00:00
75,90,16.15,shipped,2025-07-21 00:00:00
76,239,26.53,shipped,2025-07-22 00:00:00
77,179,25.26,shipped,2025-07-22 00:00:00
78,31,50.53,shipped,2025-07-24 00:00:00
79,174,58.33,shipped,2025-07-25 00:00:00
80,182,85.98,shipped,2025-07-25 00:00:00
81,100,26.56,refunded,2025-07-26 00:00:00
82,236,38.43,shipped,2025-07-30 00:00:00
83,188,41.42,shipped,2025-08-02 00:00:00
84,5,138.3,shipped,2025-08-02 00:00:00
85,182,64.29,shipped,2025-08-02 00:00:00
86,94,70.84,refunded,2025-08-03 00:00:00
87,122,39.87,shipped,2025-08-08 00:00:00
88,61,59.75,placed,2025-08-09 00:00:00
89,30,25.53,placed,2025-08-10 00:00:00
90,50,61.04,shipped,2025-08-10 00:00:00
91,176,42.58,shipped,2025-08-10 00:00:00
92,188,32.61,shipped,2025-08-11 00:00:00
93,30,38.89,shipped,2025-08-11 00:00:00
94,37,66.66,shipped,2025-08-12 00:00:00
95,163,80.28,cancelled,2025-08-12 00:00:00
96,77,69.29,shipped,2025-08-13 00:00:00
97,174,46.06,shipped,2025-08-14 00:00:00
98,127,20.5,refunded,2025-08-15 00:00:00
99,23,21.34,shipped,2025-08-16 00:00:00
100,74,44.79,shipped,2025-08-17 00:00:00
101,64,20.46,placed,2025-08-18 00:00:00
102,64,18.46,shipped,2025-08-18 00:00:00
103,37,46.68,shipped,2025-08-19 00:00:00
104,94,136.42,shipped,2025-08-20 00:00:00
105,96,59.83,shipped,2025-08-24 00:00:00
106,64,101.32,shipped,2025-08-25 00:00:00
107,50,16.47,refunded,2025-08-25 00:00:00
108,112,54.67,shipped,2025-08-26 00:00:00
109,74,30.95,refunded,2025-08-27 00:00:00
110,92,92.16,shipped,2025-08-30 00:00:00
111,188,24.84,shipped,2025-08-30 00:00:00
112,177,34.73,shipped,2025-09-01 00:00:00
113,98,125.02,shipped,2025-09-01 00:00:00
114,77,75.92,placed,2025-09-01 00:00:00
115,239,46.7,refunded,2025-09-03 00:00:00
116,127,35.85,refunded,2025-09-03 00:00:00
117,37,9.76,cancelled,2025-09-03 00:00:00
118,176,100.64,shipped,2025-09-04 00:00:00
119,142,50.98,refunded,2025-09-05 00:00:00
120,42,21.2,shipped,2025-09-05 00:00:00
121,236,30.47,shipped,2025-09-06 00:00:00
122,190,54.96,shipped,2025-09-07 00:00:00
123,74,59.44,cancelled,2025-09-08 00:00:00
124,216,158.68,cancelled,2025-09-09 00:00:00
125,79,68.51,shipped,2025-09-09 00:00:00
126,216,102.02,shipped,2025-09-10 00:00:00
127,92,24.82,refunded,2025-09-11 00:00:00
128,96,61.46,shipped,2025-09-11 00:00:00
129,77,187.91,shipped,2025-09-12 00:00:00
130,125,258.77,shipped,2025-09-13 00:00:00
131,100,95.62,refunded,2025-09-14 00:00:00
132,216,15.86,shipped,2025-09-14 00:00:00
133,198,21.18,shipped,2025-09-15 00:00:00
134,122,57.55,shipped,2025-09-15 00:00:00
135,122,35.04,placed,2025-09-16 00:00:00
136,137,320.77,shipped,2025-09-18 00:00:00
137,31,77.92,cancelled,2025-09-20 00:00:00
138,31,77.05,shipped,2025-09-20 00:00:00
139,155,86.19,placed,2025-09-22 00:00:00
140,92,69.37,placed,2025-09-22 00:00:00
141,96,43.99,shipped,2025-09-23 00:00:00
142,234,37.58,shipped,2025-09-23 00:00:00
143,86,78.62,shipped,2025-09-23 00:00:00
144,236,80.55,shipped,2025-09-24 00:00:00
145,112,9.6,cancelled,2025-09-24 00:00:00
146,85,210.92,placed,2025-09-26 00:00:00
147,137,31.17,placed,2025-09-28 00:00:00
148,77,20.07,shipped,2025-10-01 00:00:00
149,103,14.24,cancelled,2025-10-01 00:00:00
150,5,94.36,placed,2025-10-02 00:00:00
151,157,49.68,cancelled,2025-10-02 00:00:00
