ticket_id,customer_id,opened_at,resolved_at,satisfaction_score
1,57,2025-11-12 00:00:00,2025-11-12 09:26:22.151236,1
2,88,2026-04-08 00:00:00,2026-04-08 08:04:30.647093,3
3,141,2026-05-13 00:00:00,2026-05-13 08:52:02.097252,3
4,14,2026-02-26 00:00:00,2026-02-26 02:14:37.184335,4
5,185,2026-03-04 00:00:00,2026-03-05 03:09:25.601337,2
6,97,2025-09-28 00:00:00,2025-09-28 18:07:24.256035,4
7,80,2025-07-27 00:00:00,2025-07-27 02:34:09.034569,2
8,144,2026-06-02 00:00:00,2026-06-02 06:18:55.369396,2
9,101,2025-12-17 00:00:00,2025-12-18 16:45:56.283242,3
10,162,2025-07-31 00:00:00,2025-07-31 10:45:13.983573,4
11,95,2026-02-08 00:00:00,2026-02-08 04:59:27.733929,2
12,5,2026-06-15 00:00:00,2026-06-15 15:28:45.212817,3
13,59,2025-08-16 00:00:00,2025-08-16 10:09:05.952533,2
14,40,2025-08-17 00:00:00,2025-08-17 05:15:25.969165,3
15,29,2026-06-01 00:00:00,2026-06-01 00:09:51.695859,1
16,197,2026-03-17 00:00:00,2026-03-17 04:32:41.391139,3
17,81,2025-07-18 00:00:00,2025-07-18 02:14:19.665767,3
18,231,2026-04-20 00:00:00,2026-04-20 09:44:31.286046,3
19,54,2025-10-14 00:00:00,2025-10-14 05:06:06.357239,3
20,152,2025-09-27 00:00:00,2025-09-27 02:19:27.818335,5
21,234,2025-10-12 00:00:00,2025-10-12 12:57:20.480347,4
22,62,2025-10-04 00:00:00,2025-10-04 06:57:07.711723,5
23,106,2026-02-17 00:00:00,2026-02-17 01:53:21.695196,4
24,174,2025-11-16 00:00:00,2025-11-16 09:10:21.572834,5
25,6,2026-01-27 00:00:00,2026-01-29 07:42:46.588567,3
26,176,2026-03-04 00:00:00,2026-03-04 02:47:41.695721,1
27,114,2025-10-13 00:00:00,2025-10-13 02:30:36.275449,4
28,109,2026-06-12 00:00:00,2026-06-12 00:48:25.903206,4
29,179,2025-08-14 00:00:00,2025-08-14 08:06:20.738124,4
30,67,2026-05-18 00:00:00,2026-05-18 04:57:35.631703,4
31,78,2025-08-20 00:00:00,2025-08-20 10:33:33.020720,4
32,85,2026-03-21 00:00:00,2026-03-21 06:32:02.687117,4
33,44,2026-06-21 00:00:00,2026-06-21 09:48:48.723582,3
34,100,2025-09-29 00:00:00,2025-09-29 14:21:36.956835,1
35,152,2026-06-21 00:00:00,2026-06-21 03:11:49.630805,5
36,87,2025-11-04 00:00:00,2025-11-04 01:22:40.586532,5
